2026-06-30 13:32:35.784 11
2026-06-30 13:32:35.785 14
2026-06-30 13:32:35.785 14
2026-06-30 13:32:35.785 13
2026-06-30 13:32:35.786 13
2026-06-30 13:32:35.786 11
2026-06-30 13:32:35.786 14
2026-06-30 13:32:35.786 16
2026-06-30 13:32:35.787 17
2026-06-30 13:32:35.787 15
2026-06-30 13:32:35.787 15
2026-06-30 13:32:35.787 11
2026-06-30 13:32:35.788 14
2026-06-30 13:32:35.788 12
2026-06-30 13:32:35.788 14
2026-06-30 13:32:35.788 10
2026-06-30 13:32:35.789 12
2026-06-30 13:32:35.789 18
